340,8,1,0,0
347,8,1,0,1
343,8,1,0,2
347,8,1,0,3
348,8,1,0,4
348,8,1,0,5
344,8,1,0,6
348,8,1,0,7
347,8,1,0,8
347,8,1,0,9
340,8,1,0,10
342,8,1,0,11
344,8,1,0,12
341,8,1,0,13
343,8,1,0,14
342,8,1,0,15
343,8,1,0,16
346,8,1,0,17
346,8,1,0,18
352,8,1,0,19
353,8,1,0,20
342,8,1,0,21
346,8,1,0,22
349,8,1,0,23
351,8,1,0,24
350,8,1,0,25
348,8,1,0,26
348,8,1,0,27
345,8,1,0,28
347,8,1,0,29
344,8,1,0,30
350,8,1,0,31
349,8,1,0,32
350,8,1,0,33
345,8,1,0,34
343,8,1,0,35
346,8,1,0,36
346,8,1,0,37
345,8,1,0,38
344,8,1,0,39
345,8,1,0,40
347,8,1,0,41
344,8,1,0,42
348,8,1,0,43
343,8,1,0,44
344,8,1,0,45
346,8,1,0,46
349,8,1,0,47
348,8,1,0,48
349,8,1,0,49
343,8,1,0,50
341,8,1,0,51
343,8,1,0,52
342,8,1,0,53
340,8,1,0,54
339,8,1,0,55
341,8,1,0,56
343,8,1,0,57
347,8,1,0,58
345,8,1,0,59
346,8,1,1,0
345,8,1,1,1
344,8,1,1,2
345,8,1,1,3
346,8,1,1,4
348,8,1,1,5
345,8,1,1,6
346,8,1,1,7
348,8,1,1,8
346,8,1,1,9
345,8,1,1,10
348,8,1,1,11
348,8,1,1,12
347,8,1,1,13
345,8,1,1,14
348,8,1,1,15
346,8,1,1,16
341,8,1,1,17
347,8,1,1,18
349,8,1,1,19
348,8,1,1,20
349,8,1,1,21
346,8,1,1,22
348,8,1,1,23
346,8,1,1,24
347,8,1,1,25
347,8,1,1,26
346,8,1,1,27
348,8,1,1,28
348,8,1,1,29
350,8,1,1,30
348,8,1,1,31
348,8,1,1,32
349,8,1,1,33
351,8,1,1,34
347,8,1,1,35
347,8,1,1,36
347,8,1,1,37
348,8,1,1,38
346,8,1,1,39
349,8,1,1,40
344,8,1,1,41
345,8,1,1,42
341,8,1,1,43
343,8,1,1,44
341,8,1,1,45
340,8,1,1,46
341,8,1,1,47
341,8,1,1,48
342,8,1,1,49
